Index,ID,DAY,Grupe.ID,Grupe.nr_persoane,Grupe.speciality,LANGUAGE,NO_LESSONS_IN_2_WEEKS,PAIR,Profesori.ID,Profesori.NAME,SEMESTER,SUBJECT,TYPE
28630,49,FRIDAY,,,,fr,2,5,49,Memphis Nash,3,Procese stochastice,teorie
28648,49,FRIDAY,,,,fr,1,1,49,Memphis Nash,3,Procese stochastice,practica
28649,49,FRIDAY,,,,fr,1,3,49,Memphis Nash,3,Procese stochastice,practica
28650,49,FRIDAY,,,,fr,1,4,49,Memphis Nash,3,Procese stochastice,practica
28651,49,FRIDAY,,,,fr,1,5,49,Memphis Nash,3,Procese stochastice,practica
28674,50,FRIDAY,,,,fr,2,1,50,Novah Wilkerson,3,Sensori și traductoare,teorie
28675,50,FRIDAY,,,,fr,2,3,50,Novah Wilkerson,3,Sensori și traductoare,teorie
28676,50,FRIDAY,,,,fr,2,5,50,Novah Wilkerson,3,Sensori și traductoare,teorie
28677,50,FRIDAY,,,,fr,2,7,50,Novah Wilkerson,3,Sensori și traductoare,teorie
28692,50,FRIDAY,,,,fr,2,1,167,Philip Glenn,3,Sensori și traductoare,lab
28693,50,FRIDAY,,,,fr,2,3,167,Philip Glenn,3,Sensori și traductoare,lab
28694,50,FRIDAY,,,,fr,2,5,167,Philip Glenn,3,Sensori și traductoare,lab
28695,50,FRIDAY,,,,fr,2,7,167,Philip Glenn,3,Sensori și traductoare,lab
28717,51,FRIDAY,,,,fr,2,1,51,Carmelo Lucas,3,Mecanica fină,teorie
28718,51,FRIDAY,,,,fr,2,6,51,Carmelo Lucas,3,Mecanica fină,teorie
28719,51,FRIDAY,,,,fr,2,7,51,Carmelo Lucas,3,Mecanica fină,teorie
28739,51,FRIDAY,,,,fr,1,1,168,Blaire Hart,3,Mecanica fină,lab
28740,51,FRIDAY,,,,fr,1,4,168,Blaire Hart,3,Mecanica fină,lab
28741,51,FRIDAY,,,,fr,1,6,168,Blaire Hart,3,Mecanica fină,lab
28742,51,FRIDAY,,,,fr,1,7,168,Blaire Hart,3,Mecanica fină,lab
28758,54,FRIDAY,,,,ru,2,2,54,Hanna Welch,3,Traductoare și măsurători,teorie
28759,54,FRIDAY,,,,ru,2,4,54,Hanna Welch,3,Traductoare și măsurători,teorie
28760,54,FRIDAY,,,,ru,2,5,54,Hanna Welch,3,Traductoare și măsurători,teorie
28761,54,FRIDAY,,,,ru,2,6,54,Hanna Welch,3,Traductoare și măsurători,teorie
28780,54,FRIDAY,,,,ru,1,2,54,Hanna Welch,3,Traductoare și măsurători,practica
28781,54,FRIDAY,,,,ru,1,4,54,Hanna Welch,3,Traductoare și măsurători,practica
28782,54,FRIDAY,,,,ru,1,5,54,Hanna Welch,3,Traductoare și măsurători,practica
28783,54,FRIDAY,,,,ru,1,6,54,Hanna Welch,3,Traductoare și măsurători,practica
28802,54,FRIDAY,,,,ru,3,1,171,Blaze Poole,3,Traductoare și măsurători,lab
28803,54,FRIDAY,,,,ru,3,3,171,Blaze Poole,3,Traductoare și măsurători,lab
28804,54,FRIDAY,,,,ru,3,6,171,Blaze Poole,3,Traductoare și măsurători,lab
28805,54,FRIDAY,,,,ru,3,7,171,Blaze Poole,3,Traductoare și măsurători,lab
28824,54,FRIDAY,,,,fr,2,2,54,Hanna Welch,3,Traductoare și măsurători,teorie
28825,54,FRIDAY,,,,fr,2,4,54,Hanna Welch,3,Traductoare și măsurători,teorie
28826,54,FRIDAY,,,,fr,2,5,54,Hanna Welch,3,Traductoare și măsurători,teorie
28827,54,FRIDAY,,,,fr,2,6,54,Hanna Welch,3,Traductoare și măsurători,teorie
28846,54,FRIDAY,,,,fr,1,2,54,Hanna Welch,3,Traductoare și măsurători,practica
28847,54,FRIDAY,,,,fr,1,4,54,Hanna Welch,3,Traductoare și măsurători,practica
28848,54,FRIDAY,,,,fr,1,5,54,Hanna Welch,3,Traductoare și măsurători,practica
28849,54,FRIDAY,,,,fr,1,6,54,Hanna Welch,3,Traductoare și măsurători,practica
28868,54,FRIDAY,,,,fr,3,1,171,Blaze Poole,3,Traductoare și măsurători,lab
28869,54,FRIDAY,,,,fr,3,3,171,Blaze Poole,3,Traductoare și măsurători,lab
28870,54,FRIDAY,,,,fr,3,6,171,Blaze Poole,3,Traductoare și măsurători,lab
28871,54,FRIDAY,,,,fr,3,7,171,Blaze Poole,3,Traductoare și măsurători,lab
28889,55,FRIDAY,,,,fr,3,1,55,Hendrix Massey,3,Fizica corpului solid,teorie
28890,55,FRIDAY,,,,fr,3,4,55,Hendrix Massey,3,Fizica corpului solid,teorie
28891,55,FRIDAY,,,,fr,3,7,55,Hendrix Massey,3,Fizica corpului solid,teorie
28907,55,FRIDAY,,,,fr,1,1,55,Hendrix Massey,3,Fizica corpului solid,practica
28908,55,FRIDAY,,,,fr,1,4,55,Hendrix Massey,3,Fizica corpului solid,practica
28909,55,FRIDAY,,,,fr,1,7,55,Hendrix Massey,3,Fizica corpului solid,practica
28931,55,FRIDAY,,,,fr,2,1,172,Bonnie Peralta,3,Fizica corpului solid,lab
28932,55,FRIDAY,,,,fr,2,2,172,Bonnie Peralta,3,Fizica corpului solid,lab
28933,55,FRIDAY,,,,fr,2,3,172,Bonnie Peralta,3,Fizica corpului solid,lab
28934,55,FRIDAY,,,,fr,2,5,172,Bonnie Peralta,3,Fizica corpului solid,lab
28935,55,FRIDAY,,,,fr,2,6,172,Bonnie Peralta,3,Fizica corpului solid,lab
28936,55,FRIDAY,,,,fr,2,7,172,Bonnie Peralta,3,Fizica corpului solid,lab
28966,56,FRIDAY,,,,fr,1,1,173,Dangelo Andrade,3,Optica medicală și echipamente optice,lab
28967,56,FRIDAY,,,,fr,1,2,173,Dangelo Andrade,3,Optica medicală și echipamente optice,lab
28968,56,FRIDAY,,,,fr,1,4,173,Dangelo Andrade,3,Optica medicală și echipamente optice,lab
28969,56,FRIDAY,,,,fr,1,7,173,Dangelo Andrade,3,Optica medicală și echipamente optice,lab
28990,58,FRIDAY,,,,fr,4,3,58,Anne Underwood,3,Anatomia și fiziologia umană 1,teorie
28991,58,FRIDAY,,,,fr,4,4,58,Anne Underwood,3,Anatomia și fiziologia umană 1,teorie
28992,58,FRIDAY,,,,fr,4,5,58,Anne Underwood,3,Anatomia și fiziologia umană 1,teorie
28993,58,FRIDAY,,,,fr,4,7,58,Anne Underwood,3,Anatomia și fiziologia umană 1,teorie
29014,58,FRIDAY,,,,fr,1,3,58,Anne Underwood,3,Anatomia și fiziologia umană 1,practica
29015,58,FRIDAY,,,,fr,1,4,58,Anne Underwood,3,Anatomia și fiziologia umană 1,practica
29016,58,FRIDAY,,,,fr,1,5,58,Anne Underwood,3,Anatomia și fiziologia umană 1,practica
29017,58,FRIDAY,,,,fr,1,7,58,Anne Underwood,3,Anatomia și fiziologia umană 1,practica
29035,58,FRIDAY,,,,fr,2,3,175,Roman Lyons,3,Anatomia și fiziologia umană 1,lab
29036,58,FRIDAY,,,,fr,2,4,175,Roman Lyons,3,Anatomia și fiziologia umană 1,lab
29058,60,FRIDAY,,,,ru,2,1,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29059,60,FRIDAY,,,,ru,2,4,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29060,60,FRIDAY,,,,ru,2,5,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29061,60,FRIDAY,,,,ru,2,6,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29084,60,FRIDAY,,,,ru,1,1,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29085,60,FRIDAY,,,,ru,1,4,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29086,60,FRIDAY,,,,ru,1,5,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29087,60,FRIDAY,,,,ru,1,6,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29110,60,FRIDAY,,,,ru,2,2,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29111,60,FRIDAY,,,,ru,2,4,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29112,60,FRIDAY,,,,ru,2,7,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29135,60,FRIDAY,,,,fr,2,1,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29136,60,FRIDAY,,,,fr,2,4,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29137,60,FRIDAY,,,,fr,2,5,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29138,60,FRIDAY,,,,fr,2,6,60,Chana Haynes,3,"Semnale, circuite și sisteme",teorie
29161,60,FRIDAY,,,,fr,1,1,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29162,60,FRIDAY,,,,fr,1,4,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29163,60,FRIDAY,,,,fr,1,5,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29164,60,FRIDAY,,,,fr,1,6,60,Chana Haynes,3,"Semnale, circuite și sisteme",practica
29187,60,FRIDAY,,,,fr,2,2,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29188,60,FRIDAY,,,,fr,2,4,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29189,60,FRIDAY,,,,fr,2,7,177,Lachlan Cortes,3,"Semnale, circuite și sisteme",lab
29209,61,FRIDAY,,,,ru,2,1,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29210,61,FRIDAY,,,,ru,2,4,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29211,61,FRIDAY,,,,ru,2,6,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29212,61,FRIDAY,,,,ru,2,7,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29229,61,FRIDAY,,,,ru,2,3,178,Lea Jarvis,3,Bazele tehnologiei electronice,lab
29230,61,FRIDAY,,,,ru,2,6,178,Lea Jarvis,3,Bazele tehnologiei electronice,lab
29250,61,FRIDAY,,,,fr,2,1,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29251,61,FRIDAY,,,,fr,2,4,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29252,61,FRIDAY,,,,fr,2,6,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29253,61,FRIDAY,,,,fr,2,7,61,Kason Villa,3,Bazele tehnologiei electronice,teorie
29270,61,FRIDAY,,,,fr,2,3,178,Lea Jarvis,3,Bazele tehnologiei electronice,lab
29271,61,FRIDAY,,,,fr,2,6,178,Lea Jarvis,3,Bazele tehnologiei electronice,lab
29293,62,FRIDAY,,,,fr,3,1,62,Johanna Todd,3,Programarea interactivă,teorie
29294,62,FRIDAY,,,,fr,3,3,62,Johanna Todd,3,Programarea interactivă,teorie
29295,62,FRIDAY,,,,fr,3,6,62,Johanna Todd,3,Programarea interactivă,teorie
29314,62,FRIDAY,,,,fr,2,5,179,Marlon Gaines,3,Programarea interactivă,lab
29315,62,FRIDAY,,,,fr,2,6,179,Marlon Gaines,3,Programarea interactivă,lab
29336,63,FRIDAY,,,,fr,3,2,63,Baylor Rowland,3,BD,teorie
29357,63,FRIDAY,,,,fr,1,2,63,Baylor Rowland,3,BD,practica
29376,63,FRIDAY,,,,fr,2,1,180,Aya Camacho,3,BD,lab
29377,63,FRIDAY,,,,fr,2,2,180,Aya Camacho,3,BD,lab
29378,63,FRIDAY,,,,fr,2,7,180,Aya Camacho,3,BD,lab
29462,64,FRIDAY,,,,fr,16,1,181,Tatum Butler,3,Practica în producție,PBL
29463,64,FRIDAY,,,,fr,16,2,181,Tatum Butler,3,Practica în producție,PBL
29464,64,FRIDAY,,,,fr,16,5,181,Tatum Butler,3,Practica în producție,PBL
29465,64,FRIDAY,,,,fr,16,6,181,Tatum Butler,3,Practica în producție,PBL
29399,75,FRIDAY,,,,fr,2,2,75,Jake Vance,3,Limba străină 3,practica
29400,75,FRIDAY,,,,fr,2,4,75,Jake Vance,3,Limba străină 3,practica
29401,75,FRIDAY,,,,fr,2,5,75,Jake Vance,3,Limba străină 3,practica
28,1,FRIDAY,1,31,AI-231,ro,2,1,1,John Withcer,1,AM1,teorie
29,1,FRIDAY,1,31,AI-231,ro,2,2,1,John Withcer,1,AM1,teorie
30,1,FRIDAY,1,31,AI-231,ro,2,3,1,John Withcer,1,AM1,teorie
31,1,FRIDAY,1,31,AI-231,ro,2,4,1,John Withcer,1,AM1,teorie
32,1,FRIDAY,1,31,AI-231,ro,2,5,1,John Withcer,1,AM1,teorie
33,1,FRIDAY,1,31,AI-231,ro,2,6,1,John Withcer,1,AM1,teorie
34,1,FRIDAY,1,31,AI-231,ro,2,7,1,John Withcer,1,AM1,teorie
133,1,FRIDAY,1,31,AI-231,ro,2,1,1,John Withcer,1,AM1,practica
134,1,FRIDAY,1,31,AI-231,ro,2,2,1,John Withcer,1,AM1,practica
135,1,FRIDAY,1,31,AI-231,ro,2,3,1,John Withcer,1,AM1,practica
136,1,FRIDAY,1,31,AI-231,ro,2,4,1,John Withcer,1,AM1,practica
137,1,FRIDAY,1,31,AI-231,ro,2,5,1,John Withcer,1,AM1,practica
138,1,FRIDAY,1,31,AI-231,ro,2,6,1,John Withcer,1,AM1,practica
139,1,FRIDAY,1,31,AI-231,ro,2,7,1,John Withcer,1,AM1,practica
630,10,FRIDAY,1,31,AI-231,ro,1,1,10,Nathalie Chavez,1,Grafica inginerească,teorie
631,10,FRIDAY,1,31,AI-231,ro,1,2,10,Nathalie Chavez,1,Grafica inginerească,teorie
632,10,FRIDAY,1,31,AI-231,ro,1,3,10,Nathalie Chavez,1,Grafica inginerească,teorie
633,10,FRIDAY,1,31,AI-231,ro,1,4,10,Nathalie Chavez,1,Grafica inginerească,teorie
634,10,FRIDAY,1,31,AI-231,ro,1,5,10,Nathalie Chavez,1,Grafica inginerească,teorie
635,10,FRIDAY,1,31,AI-231,ro,1,6,10,Nathalie Chavez,1,Grafica inginerească,teorie
636,10,FRIDAY,1,31,AI-231,ro,1,7,10,Nathalie Chavez,1,Grafica inginerească,teorie
731,10,FRIDAY,1,31,AI-231,ro,2,1,127,Victor Harmon,1,Grafica inginerească,lab
732,10,FRIDAY,1,31,AI-231,ro,2,4,127,Victor Harmon,1,Grafica inginerească,lab
733,10,FRIDAY,1,31,AI-231,ro,2,6,127,Victor Harmon,1,Grafica inginerească,lab
734,10,FRIDAY,1,31,AI-231,ro,2,7,127,Victor Harmon,1,Grafica inginerească,lab
807,11,FRIDAY,1,31,AI-231,ro,2,1,11,Ian Gibbs,1,Fizica,teorie
808,11,FRIDAY,1,31,AI-231,ro,2,2,11,Ian Gibbs,1,Fizica,teorie
809,11,FRIDAY,1,31,AI-231,ro,2,3,11,Ian Gibbs,1,Fizica,teorie
810,11,FRIDAY,1,31,AI-231,ro,2,4,11,Ian Gibbs,1,Fizica,teorie
811,11,FRIDAY,1,31,AI-231,ro,2,5,11,Ian Gibbs,1,Fizica,teorie
812,11,FRIDAY,1,31,AI-231,ro,2,6,11,Ian Gibbs,1,Fizica,teorie
813,11,FRIDAY,1,31,AI-231,ro,2,7,11,Ian Gibbs,1,Fizica,teorie
930,11,FRIDAY,1,31,AI-231,ro,2,1,11,Ian Gibbs,1,Fizica,practica
931,11,FRIDAY,1,31,AI-231,ro,2,2,11,Ian Gibbs,1,Fizica,practica
932,11,FRIDAY,1,31,AI-231,ro,2,3,11,Ian Gibbs,1,Fizica,practica
933,11,FRIDAY,1,31,AI-231,ro,2,4,11,Ian Gibbs,1,Fizica,practica
934,11,FRIDAY,1,31,AI-231,ro,2,5,11,Ian Gibbs,1,Fizica,practica
935,11,FRIDAY,1,31,AI-231,ro,2,6,11,Ian Gibbs,1,Fizica,practica
936,11,FRIDAY,1,31,AI-231,ro,2,7,11,Ian Gibbs,1,Fizica,practica
1039,11,FRIDAY,1,31,AI-231,ro,2,1,128,Maren Sparks,1,Fizica,lab
1040,11,FRIDAY,1,31,AI-231,ro,2,4,128,Maren Sparks,1,Fizica,lab
1041,11,FRIDAY,1,31,AI-231,ro,2,5,128,Maren Sparks,1,Fizica,lab
1042,11,FRIDAY,1,31,AI-231,ro,2,6,128,Maren Sparks,1,Fizica,lab
1043,11,FRIDAY,1,31,AI-231,ro,2,7,128,Maren Sparks,1,Fizica,lab
378,3,FRIDAY,1,31,AI-231,ro,2,1,3,Karlas Nasar,1,ALGA,teorie
379,3,FRIDAY,1,31,AI-231,ro,2,2,3,Karlas Nasar,1,ALGA,teorie
380,3,FRIDAY,1,31,AI-231,ro,2,3,3,Karlas Nasar,1,ALGA,teorie
381,3,FRIDAY,1,31,AI-231,ro,2,4,3,Karlas Nasar,1,ALGA,teorie
382,3,FRIDAY,1,31,AI-231,ro,2,5,3,Karlas Nasar,1,ALGA,teorie
383,3,FRIDAY,1,31,AI-231,ro,2,6,3,Karlas Nasar,1,ALGA,teorie
384,3,FRIDAY,1,31,AI-231,ro,2,7,3,Karlas Nasar,1,ALGA,teorie
504,3,FRIDAY,1,31,AI-231,ro,1,1,3,Karlas Nasar,1,ALGA,practica
505,3,FRIDAY,1,31,AI-231,ro,1,2,3,Karlas Nasar,1,ALGA,practica
506,3,FRIDAY,1,31,AI-231,ro,1,3,3,Karlas Nasar,1,ALGA,practica
507,3,FRIDAY,1,31,AI-231,ro,1,4,3,Karlas Nasar,1,ALGA,practica
508,3,FRIDAY,1,31,AI-231,ro,1,5,3,Karlas Nasar,1,ALGA,practica
509,3,FRIDAY,1,31,AI-231,ro,1,6,3,Karlas Nasar,1,ALGA,practica
510,3,FRIDAY,1,31,AI-231,ro,1,7,3,Karlas Nasar,1,ALGA,practica
1708,39,FRIDAY,1,31,AI-231,ro,2,2,39,Blaise Bates,1,L. Engleză 1-2,practica
1709,39,FRIDAY,1,31,AI-231,ro,2,5,39,Blaise Bates,1,L. Engleză 1-2,practica
1238,4,FRIDAY,1,31,AI-231,ro,2,2,121,Hakeem Davenport,1,PC,lab
1239,4,FRIDAY,1,31,AI-231,ro,2,6,121,Hakeem Davenport,1,PC,lab
1240,4,FRIDAY,1,31,AI-231,ro,2,7,121,Hakeem Davenport,1,PC,lab
1778,40,FRIDAY,1,31,AI-231,ro,2,2,40,Madilyn Ramsey,1,Ed. Fizică 1-2,practica
1779,40,FRIDAY,1,31,AI-231,ro,2,5,40,Madilyn Ramsey,1,Ed. Fizică 1-2,practica
1780,40,FRIDAY,1,31,AI-231,ro,2,7,40,Madilyn Ramsey,1,Ed. Fizică 1-2,practica
1305,5,FRIDAY,1,31,AI-231,ro,2,1,5,Usain Bold,1,PSA,teorie
1306,5,FRIDAY,1,31,AI-231,ro,2,2,5,Usain Bold,1,PSA,teorie
1307,5,FRIDAY,1,31,AI-231,ro,2,3,5,Usain Bold,1,PSA,teorie
1308,5,FRIDAY,1,31,AI-231,ro,2,4,5,Usain Bold,1,PSA,teorie
1309,5,FRIDAY,1,31,AI-231,ro,2,5,5,Usain Bold,1,PSA,teorie
1310,5,FRIDAY,1,31,AI-231,ro,2,6,5,Usain Bold,1,PSA,teorie
1311,5,FRIDAY,1,31,AI-231,ro,2,7,5,Usain Bold,1,PSA,teorie
1368,5,FRIDAY,1,31,AI-231,ro,1,1,5,Usain Bold,1,PSA,practica
1369,5,FRIDAY,1,31,AI-231,ro,1,2,5,Usain Bold,1,PSA,practica
1370,5,FRIDAY,1,31,AI-231,ro,1,3,5,Usain Bold,1,PSA,practica
1371,5,FRIDAY,1,31,AI-231,ro,1,4,5,Usain Bold,1,PSA,practica
1372,5,FRIDAY,1,31,AI-231,ro,1,5,5,Usain Bold,1,PSA,practica
1373,5,FRIDAY,1,31,AI-231,ro,1,6,5,Usain Bold,1,PSA,practica
1374,5,FRIDAY,1,31,AI-231,ro,1,7,5,Usain Bold,1,PSA,practica
1436,5,FRIDAY,1,31,AI-231,ro,1,2,122,Adrianna Zimmerman,1,PSA,lab
1437,5,FRIDAY,1,31,AI-231,ro,1,7,122,Adrianna Zimmerman,1,PSA,lab
1488,6,FRIDAY,1,31,AI-231,ro,2,1,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1489,6,FRIDAY,1,31,AI-231,ro,2,2,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1490,6,FRIDAY,1,31,AI-231,ro,2,3,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1491,6,FRIDAY,1,31,AI-231,ro,2,4,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1492,6,FRIDAY,1,31,AI-231,ro,2,5,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1493,6,FRIDAY,1,31,AI-231,ro,2,6,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
1494,6,FRIDAY,1,31,AI-231,ro,2,7,6,Christopher Newman,1,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,teorie
4433,1,FRIDAY,10,24,IA-233,ro,2,1,1,John Withcer,1,AM1,teorie
4434,1,FRIDAY,10,24,IA-233,ro,2,2,1,John Withcer,1,AM1,teorie
4435,1,FRIDAY,10,24,IA-233,ro,2,3,1,John Withcer,1,AM1,teorie
4436,1,FRIDAY,10,24,IA-233,ro,2,4,1,John Withcer,1,AM1,teorie
4437,1,FRIDAY,10,24,IA-233,ro,2,5,1,John Withcer,1,AM1,teorie
4438,1,FRIDAY,10,24,IA-233,ro,2,6,1,John Withcer,1,AM1,teorie
4439,1,FRIDAY,10,24,IA-233,ro,2,7,1,John Withcer,1,AM1,teorie
4468,1,FRIDAY,10,24,IA-233,ro,2,1,1,John Withcer,1,AM1,practica
4469,1,FRIDAY,10,24,IA-233,ro,2,2,1,John Withcer,1,AM1,practica
4470,1,FRIDAY,10,24,IA-233,ro,2,3,1,John Withcer,1,AM1,practica
4471,1,FRIDAY,10,24,IA-233,ro,2,4,1,John Withcer,1,AM1,practica
4472,1,FRIDAY,10,24,IA-233,ro,2,5,1,John Withcer,1,AM1,practica
4473,1,FRIDAY,10,24,IA-233,ro,2,6,1,John Withcer,1,AM1,practica
4474,1,FRIDAY,10,24,IA-233,ro,2,7,1,John Withcer,1,AM1,practica
4282,3,FRIDAY,10,24,IA-233,ro,2,1,3,Karlas Nasar,1,ALGA,teorie
4283,3,FRIDAY,10,24,IA-233,ro,2,2,3,Karlas Nasar,1,ALGA,teorie
4284,3,FRIDAY,10,24,IA-233,ro,2,3,3,Karlas Nasar,1,ALGA,teorie
4285,3,FRIDAY,10,24,IA-233,ro,2,4,3,Karlas Nasar,1,ALGA,teorie
4286,3,FRIDAY,10,24,IA-233,ro,2,5,3,Karlas Nasar,1,ALGA,teorie
4287,3,FRIDAY,10,24,IA-233,ro,2,6,3,Karlas Nasar,1,ALGA,teorie
4288,3,FRIDAY,10,24,IA-233,ro,2,7,3,Karlas Nasar,1,ALGA,teorie
4324,3,FRIDAY,10,24,IA-233,ro,1,1,3,Karlas Nasar,1,ALGA,practica
4325,3,FRIDAY,10,24,IA-233,ro,1,2,3,Karlas Nasar,1,ALGA,practica
4326,3,FRIDAY,10,24,IA-233,ro,1,3,3,Karlas Nasar,1,ALGA,practica
4327,3,FRIDAY,10,24,IA-233,ro,1,4,3,Karlas Nasar,1,ALGA,practica
4328,3,FRIDAY,10,24,IA-233,ro,1,5,3,Karlas Nasar,1,ALGA,practica
4329,3,FRIDAY,10,24,IA-233,ro,1,6,3,Karlas Nasar,1,ALGA,practica
4330,3,FRIDAY,10,24,IA-233,ro,1,7,3,Karlas Nasar,1,ALGA,practica
4567,39,FRIDAY,10,24,IA-233,ro,2,2,39,Blaise Bates,1,L. Engleză 1-2,practica
4568,39,FRIDAY,10,24,IA-233,ro,2,5,39,Blaise Bates,1,L. Engleză 1-2,practica
4395,4,FRIDAY,10,24,IA-233,ro,2,2,121,Hakeem Davenport,1,PC,lab
4396,4,FRIDAY,10,24,IA-233,ro,2,6,121,Hakeem Davenport,1,PC,lab
4397,4,FRIDAY,10,24,IA-233,ro,2,7,121,Hakeem Davenport,1,PC,lab
